3-D Man
Fallen One
Famine
Fantastic Four
Fantastic Four 
Fantastick Four
Fantomex
Fat Cobra
Felicia Hardy
Fenris
Feral
Fin Fang Foom
Firebird
Firebrand
Firedrake
Firelord
Firestar
Firestar 
Fixer 
Flatman
Flying Dutchman
Foggy Nelson
Force Works
Forearm
Forge
Forge 
Forgotten One
Frank Castle
Frankenstein's Monster
Franklin Richards
Franklin Storm
Freak
Frightful Four
Frog Thor
Frog-Man
Gabe Jones
Galactus
Galia
Gambit
Gamma Corps
Gamora
Gamora 
Gargoyle
Gargoyle 
Garia
Garrison Kane
Gateway
Gauntlet 
Geiger
Gene Sailors
Generation X
Genesis
Genis-Vell
George Stacy 
Gertrude Yorkes
Ghost Rider 
Ghost Rider 
Ghost Rider 
Giant Girl
Giant Man
Giant-dok
Giant-Man 
Gideon
Git Hoskins
Gladiator 
Gladiator 
Glenn Talbot
Glorian
Goblin Queen
Golden Guardian
Goliath 
Gorgon
Gorilla Man
Grandmaster
Gravity
Great Lakes Avengers
Green Goblin 
Green Goblin 
Green Goblin 
Gressill
Grey Gargoyle
Greymalkin
Grim Reaper
Groot
Guardian
Guardians of the Galaxy
Guardsmen
Gunslinger
GW Bridge
Gwen Stacy
Gwen Stacy 
H.A.M.M.E.R.
H.E.R.B.I.E.
Hairball
Half-Life 
Hammerhead
Hammerhead 
Hank Pym
Hannibal King
Happy Hogan
Hardball
Harley Davidson Cooper
Harpoon
Harrier
Harry Heck
Harry Osborn
Harry Osborn 
Hate-Monger 
Havok
Hawkeye
Hawkeye 
Hawkeye 
Hawkeye 
Hawkeye/Clint Barton 
Hedge Knight
Hellcat 
Hellfire Club
Hellfire Club 
Hellion
Hellions 
Hemingway
Henry Peter Gyrich
Hepzibah
Hercules
Heroes For Hire
Hex
High Evolutionary
Hindsight Lad
Hiroim
Hitman
Hitomi Sakuma
Hobgoblin 
Hobgoblin 
Hobgoblin 
Holocaust 
Holy
Hope Summers
Howard Saint
Howard The Duck
Hulk
Hulk 
Hulk 
Hulk 
Hulk 
Hulk 
Hulk-dok
Hulk/Bruce Banner 
Hulkling
Human Cannonball
Human Fly 
Human Robot
Human Torch
Human Torch 
Human Torch 
Humbug
Husk
Hussar
Hydra
Hydro-Man
Hyperion 
Hypno-Hustler
Iceman
Iceman 
Iceman 
Ikaris
Illuminati
Ilyana Rasputin
Imp
Imperfects
Imperial Guard
Impossible Man
In-Betweener
Inertia
Infant Terrible
Inhumans
Ink
Invaders
Invisible Woman
Invisible Woman 
Invisible Woman 
Iron Cross Army
Iron Fist 
Iron Fist 
Iron Fist 
Iron Fist 
Iron Fist 
Iron Fist 
Iron Lad
Iron Man
Iron Man 
Iron Man 
Iron Man 
Iron Man 
Iron Man 
Iron Man/Tony Stark 
Iron Monger
Iron Patriot
Iron Patriot 
Ironclad
J. Jonah Jameson
Jack Flag
Jack Murdock
Jack O' Lantern
Jack Power
Jackal
Jackpot
James Buchanan Barnes
James Howlett
Jamie Braddock
Jane Foster
"Janus, the Nega-Man"
Jasper Sitwell
Jazinda
Jean Grey
Jean Grey
Jean Grey 
Jennifer Smith
Jeryn Hogarth
Jessica Drew
Jessica Jones
Jetstream
Jigsaw
Jimmy Woo
Joan the Mouse
Jocasta
John Farson
John Jameson
John Porter
John Wraith
Johnny Blaze
Johnny Storm
Joseph
Joshua Kane
Josiah X
Joystick
Jubilee
Jubilee 
Juggernaut
Jule Carpenter
Julian Keller
Junta
Justice
Justin Hammer
Ka-Zar
Kabuki
Kang
Karen O'Malley
Karen Page
Karma
Karnak
Karolina Dean
Kat Farrell
Kate Bishop
Katie Power
Ken Ellis
Khan
Kid Colt
Killer Shrike
Killmonger
Killraven
King Bedlam
King Cobra
Kingpin
Kinsey Walden
Kitty Pryde
Kitty Pryde 
Klaw
Komodo 
Korath
Korg
Korvac
Kraven the Hunter
Kree
Krista Starr
Kronos
Kulan Gath
Kylun
La Nuit
Lady Bullseye
Lady Deathstrike
Lady Mastermind
Lady Ursula
Lady Vermin
Lake
Landau
Lava-Man
Layla Miller
Leader
Leech
Legion
"Lei Kung, The Thunderer"
Lenny Balinger
Leo 
Leopardon
Leper Queen
Lester
Lethal Legion
Lieutenant Marcus Stone
Lifeguard
Lightning Lords of Nepal
Lightspeed
Lila Cheney
Lilandra
Lilith
Lily Hollister
Lionheart
Living Lightning
Living Mummy
Living Tribunal
Liz Osborn
Lizard
Lizard 
Loa
Lockheed
Lockjaw
Logan
Loki
Loki 
Loners
Longshot
Longshot 
Lord Hawal
Lord Tyger
Lords of Avalon
Lorna Dane
Luckman
Lucky Pierre
Lucy in the Sky
Luke Cage
Luminals
Lyja
M 
M.O.D.A.M.
M.O.D.O.G.
M.O.D.O.K.
M.O.D.O.K. 
Ma Gnuci
Mac Gargan
Mach IV
Machine Man
Mad Thinker
Madame Hydra
Madame Masque
Madame Web 
Maddog
Madelyne Pryor
Madripoor
Madrox
Maelstrom
Maestro
Magdalene
Maggott
Magik 
Magik 
Maginty
Magma 
Magneto
Magneto 
Magneto 
Magneto 
Magneto 
Magus 
Magus 
Major Mapleleaf
Makkari
Malcolm Colcord
Malice 
Man-Thing
Man-Wolf
Mandarin
Mandrill
Mandroid
Manta
Mantis
Marauders
Marcus Van Sciver
Maria Hill
Mariko Yashida
Marrow
Marten Broadcloak
Martin Li
Marvel Apes
Marvel Boy
Marvel Zombies
Marvex
Mary Jane Watson
Mary Jane Watson 
Mary Jane Watson 
Masked Marvel 
Masque
Master Chief
Master Mold
Mastermind
Masters of Evil
Mathemanic
Matsu'o Tsurayaba
Matthew Murdock
Mattie Franklin
Mauler
Maverick 
Maverick 
Maximus
May Parker
Medusa
Meggan
Meltdown
Menace
Mentallo
Mentor
Mephisto
Mephistopheles
Mercury
Mesmero
Metal Master
Meteorite
MI: 13
Micro/Macro
Microbe
Microchip
Micromax
Midnight 
Miek
Mikhail Rasputin
Millenium Guard
Millie the Model
Mimic
Mindworm
Miracleman
Miss America
Mister Fear
Mister Sinister
Mister Sinister 
Mister Sinister 
Mister Sinister 
Misty Knight
Mockingbird
Moira MacTaggert
Moira MacTaggert 
Mojo
Mole Man
Molecule Man
Molly Hayes
Molly Von Richtofen
Molten Man
Mongoose
Mongu 
Monster Badoon
Moon Knight
Moon Knight 
Moon Knight 
Moondragon
Moonstone
Morbius
Mordo
Morg
Morgan Stark
Morlocks
Morlun
Morph
Mother Askani
Mr. Bumpo
Mr. Fantastic
Mr. Fantastic 
Mr. Fish
Mr. Fixit
Mr. Hyde
Mr. Immortal
Mr. Meugniot
Mr. Negative
Mr. Payback
Mr. X
Ms. Marvel 
MS2
Mulholland Black
Multiple Man
MVP
Mysterio
Mysterio 
Mysterio 
Mystique
Mystique 
Mystique 
Mystique 
Nakia 
Namor
Namora
Namorita
Naoko
Natasha Romanoff
Nebula
Nehzno
Nekra
Nemesis
Network
New Goblin
New Mutants
New Warriors
New X-Men
Newton Destine
Next Avengers
Nextwave
Nick Fury
Nick Fury 
Nick Fury 
Nico Minoru
Nicolaos
Night Nurse 
Night Thrasher
Night Thrasher 
Nightcrawler
Nightcrawler 
Nighthawk
Nightmare
Nightshade
Nine-Fold Daughters of Xao
Nitro
Nocturne
Nomad
Nomad 
Nomad 
Norman Osborn
Norrin Radd
Northstar
Nova
Nova 
Nova 
Nova 
Nuke
Obadiah Stane
Odin
Ogun
Okoye
Old Lace
Omega Flight
Omega Red
Omega Sentinel
Omega the Unknown
Onslaught
Onslaught 
Oracle
Ord
Orphan
Orphan-Maker
Otto Octavius
Outlaw Kid
Overlord
Owl
Ozymandias
Paibok
Paladin
Pandemic
Paper Doll
Patch
Patriot
Payback
Penance 
Pepper Potts
Pestilence
Pet Avengers
Pete Wisdom
Peter Parker
Peter Quill
Phalanx
Phantom Reporter
Phil Coulson 
Phil Sheldon
Photon
Phyla-Vell
Piledriver
Pip
Pixie
Plazm
Polaris
Post
Power Man 
Power Pack
Praxagora
Preak
Pretty Boy
Pride
Prima
Prince of Orphans
Princess Powerful
Prism
Prodigy
Proemial Gods
Professor Monster
Professor X
Professor X 
Proteus
Proteus 
Proteus 
Proudstar
Prowler
Prowler 
Psycho-Man
Psylocke
PsyNapse
Puck
Puck 
Puff Adder
pug
Puma
Punisher
Punisher 
Punisher 
Puppet Master
Purifiers
Purple Man
Pyro
Quake 
Quasar 
Quasar 
Quasimodo
Queen Noir
Quentin Quire
Quicksilver
Quicksilver 
Quicksilver 
Rachel Grey
Radioactive Man
Rafael Vega
Rage
Raider
Randall
Randall Flagg
Random
Rattler
Ravenous
Rawhide Kid
Raza
Reaper
Reavers
Reavers 
Red 9
Red Ghost
Red Ghost 
Red Hulk
Red Hulk 
Red She-Hulk
Red Shift
Red Skull
Red Skull 
Red Wolf
Redwing
Reptil
Retro Girl
Revanche
Rhino
Rhodey
Richard Fisk
Rick Jones
Rick Jones 
Ricochet
Rictor
Riptide
Risque
Robbie Robertson
Robert Baldwin
Robin Chapel
Rocket Raccoon
Rocket Raccoon 
Rocket Racer
Rockslide
Rogue
Rogue 
Rogue 
Rogue 
Rogue 
Roland Deschain
Romulus
Ronan
Roughhouse
Roulette
Roxanne Simpson
Rumiko Fujikawa
Runaways
Russian
S.H.I.E.L.D.
Sabra
Sabretooth
Sabretooth 
Sabretooth 
Sabretooth 
Sage
Salem's Seven 
Sally Floyd
Salo
Sandman
Santa Claus
Saracen 
Sasquatch 
Satana
Sauron
Scalphunter
Scarecrow 
Scarlet Spider 
Scarlet Spider 
Scarlet Witch
Scarlet Witch 
Scarlet Witch 
Scarlet Witch 
Scorpion 
Scorpion 
Scourge
Scrambler
Scream 
Screwball
Sebastian Shaw
Secret Warriors
Selene
Senator Kelly
Sentinel
Sentinels
Sentry 
Ser Duncan
Serpent Society
Sersi
Shadow King
Shadow King 
Shadowcat
Shadowcat 
Shadowcat 
Shadu the Shady
Shalla-bal
Shaman
Shane Yamada-Jones
Shang-Chi
Shang-Chi 
Shanna the She-Devil
Shape
Shard
Sharon Carter
Sharon Ventura
Shatterstar
She-Hulk 
She-Hulk 
She-Hulk 
She-Hulk 
She-Hulk 
Shen
Sheva Callister
Shi'Ar
Shinko Yamashiro
Shinobi Shaw
Shiva
Shiver Man
Shocker 
Shockwave
Shooting Star
Shotgun
Shriek
Sif
Silhouette
Silk Fever
Silver Centurion
Silver Fox
Silver Sable
Silver Samurai
Silver Samurai 
Silver Surfer
Silverclaw
Silvermane
Sin
Sinister Six
Sir Ram
Siren 
Sister Grimm
Skaar
Skaar 
Skin
Skreet
Skrulls
Skrulls 
Skullbuster 
Slapstick
Slayback
Sleeper
Sleepwalker
Slipstream
Slyde
Smasher 
Smiling Tiger
Snowbird
Solo 
Songbird
Sons of the Tiger
Spacker Dave
Spectrum
Speed
Speed Demon
Speedball 
Spencer Smythe
Sphinx 
Spider-dok
Spider-Girl 
Spider-Girl 
Spider-Ham 
Spider-Man
Spider-Man 
Spider-Man 
Spider-Man 
Spider-Man 
Spider-Man 
Spider-Man 
Spider-Man 
Spider-Man 
Spider-Man 
Spider-Man 
Spider-Man 
Spider-Man 
Spider-Woman 
Spider-Woman 
Spider-Woman 
Spiral 
Spirit
Spitfire
Spot
Sprite
Spyke
Squadron Sinister
Squadron Supreme 
Squirrel Girl
Stacy X
Stacy X 
Star Brand
Star-Lord 
Starbolt
Stardust
Starfox
Starhawk 
Starjammers
Stark Industries
Stature
Steel Serpent 
Stellaris
Stepford Cuckoos
Stephanie de la Spiroza
Stephen Strange
Steve Rogers
Stick
Stilt-Man 
Stingray 
Stone Men
Storm
Storm 
Storm 
Storm 
Stranger
Strong Guy
Stryfe
Stryfe 
Sub-Mariner
Sue Storm
Sugar Man
Sumo
Sunfire
Sunfire 
Sunset Bain
Sunspot
Super Hero Squad
Super-Adaptoid
Super-Skrull
Supernaut
Supreme Intelligence
Surge
Susan Delgado
Swarm
Sway
Switch
Swordsman
Swordsman 
Sym
Synch
T'Challa
Tag
Talisman 
Talkback 
Talon 
Talos
Tana Nile
Tarantula 
Tarot
Taskmaster
Tattoo
Ted Forrester
Tempest
Tenebrous
Terrax
Terror
Texas Twister
Thaddeus Ross
Thanos
Thanos 
The 198
The Anarchist
The Call
The Captain
The Enforcers
The Executioner
The Fallen
The Fury
The Hand
The Hood
The Howling Commandos
The Hunter
The Initiative
The Leader 
The Liberteens
The Liberty Legion
The Order
The Phantom
The Professor
The Renegades
The Santerians
The Shiver Man
The Spike
The Stranger
The Twelve
The Watchers
Thena
Thing
Thing 
Thing 
Thor
Thor 
Thor 
Thor 
Thor 
Thor 
Thor 
Thor Girl
Thunderball
Thunderbird 
Thunderbird 
Thunderbolt 
Thunderbolt Ross
Thunderbolts
Thundra
Tiger Shark
Tiger's Beautiful Daughter
Tigra 
Timeslip
Tinkerer
Tippy Toe
Titania
Titanium Man 
Toad
Toad Men
Tomas
Tombstone
Tomorrow Man
Tony Stark
Toro 
Toxin
Toxin 
Trauma
Triathlon
Trish Tilby
Triton
True Believers
Turbo
Tusk
Two-Gun Kid
Tyger Tiger
Typhoid Mary
Tyrannus
U-Foes
U-Go Girl
U.S. Agent
Uatu The Watcher
Ulik
Ultimate Spider-Man 
Ultimates
Ultimatum
Ultimo
Ultra-Adaptoid
Ultragirl 
Ultron
Umar
Unicorn
Union Jack 
Union Jack 
Union Jack 
Unus
Unus 
Unus 
Unus 
Valeria Richards
Valkyrie 
Valkyrie 
Vampiro
Vance Astro
Vanisher 
Vanisher 
Vanisher 
Vapor
Vargas
Vector
Veda
Vengeance 
Venom 
Venom 
Venom 
Venus 
Venus Dee Milo
Vermin 
Vertigo 
Victor Mancha
Victor Von Doom
Vin Gonzales
Vindicator
Violations
Viper
Virginia Dare
Vision
Vivisector
Vulcan 
Vulture 
Vulture 
Wallflower
Wallop
Wallow
War 
War Machine 
War Machine 
War Machine 
War Machine 
Warbird
Warbound
Warhawk 
Warlock 
Warlock 
Warpath
Warren Worthington III
Warstar
Wasp
Wasp 
Weapon Omega
Weapon X
Wendell Rand
Wendell Vaughn
Wendigo
Werewolf By Night
Whiplash 
Whirlwind
Whistler
White Queen 
White Tiger 
White Tiger 
Whizzer 
Wiccan
Wild Child
Wild Child 
Wild Pack
Wildside
William Stryker
Wilson Fisk
Wind Dancer
Winter Soldier
Wither
Wolf Cub
Wolfpack
Wolfsbane
Wolfsbane 
Wolver-dok
Wolverine
Wolverine 
Wolverine 
Wolverine 
Wolverine 
Wonder Man
Wong
Wong 
Wraith
Wrecker
Wrecking Crew
X-23
X-51
X-Babies
X-Cutioner
X-Factor
X-Factor Investigations
X-Force
X-Man
X-Men
X-Men 
X-Ray 
X-Statix
X.S.E.
Xavin
Xorn 
Yellow Claw
Yellowjacket 
Young Avengers
Young X-Men
Zaladane
Zaran
Zarda
Zarek
Zeigeist
Zemo
Zodiak
Zombie 
Zuras
Zzzax
